state_name,year,Emissions,Removals
Gujarat,2015,122689027.52,1259834.74
Gujarat,2016,137136636.9,1259834.74
Gujarat,2017,142792138.25,1259834.74
Gujarat,2018,156993441.05,1195390.67
Gujarat,2019,174095635.06,-1025327.31
Gujarat,2020,181432676.65,-1025327.31
Gujarat,2021,204292759.78,-887808.98
Gujarat,2022,197887331.81,-887808.98
Haryana,2013,29955206.99,179248.58
Haryana,2014,33057915.46,179248.58
Haryana,2015,36178522.81,189665.38
Haryana,2016,41847338.53,189665.38
Haryana,2017,44250773.26,189665.38
Haryana,2018,48852410.55,179184.66
Haryana,2019,55098531.73,46115.56
Haryana,2020,55528140.3,46115.56
Haryana,2021,58392117.52,-154520.77
Haryana,2022,54667732.18,-154520.77
Himachal Pradesh,2013,5510825.16,-3496198.07
Himachal Pradesh,2014,6075043.42,-3496198.07
Himachal Pradesh,2015,6082057.41,-3533202.14
Himachal Pradesh,2016,6398208.11,-3533202.14
Himachal Pradesh,2017,8482976.69,-3533202.14
Himachal Pradesh,2018,8634858.12,-3448629.05
Himachal Pradesh,2019,9281977.76,-630652.72
Himachal Pradesh,2020,9291192.96,-630652.72
Himachal Pradesh,2021,9275312.99,-8505789.22
Himachal Pradesh,2022,10107863.16,-8505789.22
Jammu and Kashmir,2013,3944575.78,-5339802.78
Jammu and Kashmir,2014,4129045.17,-5339802.78
Jammu and Kashmir,2015,4067549.94,-5412308.18
Jammu and Kashmir,2016,4259882.3,-5412308.18
Jammu and Kashmir,2017,4463029.96,-5412308.18
Jammu and Kashmir,2018,4826799.92,-5335637.69
Jammu and Kashmir,2019,5109131.64,-10007852.07
Jammu and Kashmir,2020,5254520.35,-10007852.07
Jammu and Kashmir,2021,5350147.79,-5720081.4
Jammu and Kashmir,2022,5502461.13,-5720081.4
Jharkhand,2013,48926790.87,-3895703.34
Jharkhand,2014,53670836.22,-3895703.34
Jharkhand,2015,47973205.21,-3869150.4
Jharkhand,2016,60364664.57,-3869150.4
Jharkhand,2017,63986531.34,-3869150.4
Jharkhand,2018,68525311.07,-3897689.22
Jharkhand,2019,77307678.32,-1131327.77
Jharkhand,2020,78415654.88,-1131327.77
Jharkhand,2021,68662159.48,-749653.44
Jharkhand,2022,70803375.92,-749653.44
Karnataka,2013,52669878.03,-4665441.14
Karnataka,2014,58184726.31,-4665441.14
Karnataka,2015,61598833.89,-4560733.98
Karnataka,2016,71543137.63,-4560733.98
Karnataka,2017,84646883.4,-4560733.98
Karnataka,2018,87084007.03,-4646858.68
Karnataka,2019,92230669.01,-8923517.25
Karnataka,2020,99058826.34,-8923517.25
Karnataka,2021,108296113.21,-27108658.58
Karnataka,2022,104730290.88,-27108658.58
Kerala,2013,12357148.71,-3723884.33
Kerala,2014,13113755.97,-3723884.33
Kerala,2015,14121810.55,-3729035.11
Kerala,2016,15607613.08,-3729035.11
Kerala,2017,16417588.34,-3729035.11
Kerala,2018,17057079.99,-3759936.98
Kerala,2019,17762238.11,-32684334.31
Kerala,2020,18815207.13,-32684334.31
Kerala,2021,19808919.06,-25458624.98
Kerala,2022,19792081.77,-25458624.98
Lakshadweep,2013,41318.72,-3477.38
Lakshadweep,2014,55281.41,-3477.38
Lakshadweep,2015,65070.0,-3471.82
Lakshadweep,2016,69097.13,-3471.82
Lakshadweep,2017,71241.21,-3471.82
Lakshadweep,2018,352277.59,-3554.68
Lakshadweep,2019,737861.31,-120.22
Lakshadweep,2020,280983.12,-120.22
Lakshadweep,2021,101680.63,-557.51
Lakshadweep,2022,107768.03,-557.51
Madhya Pradesh,2013,70987562.36,157949.94
Madhya Pradesh,2014,78506949.78,157949.94
Madhya Pradesh,2015,83716342.69,207883.27
Madhya Pradesh,2016,85027595.05,207883.27
Madhya Pradesh,2017,88542384.66,207883.27
Madhya Pradesh,2018,92496136.77,474451.77
Madhya Pradesh,2019,93922246.6,1319622.1
Madhya Pradesh,2020,98332134.63,1319622.1
Madhya Pradesh,2021,114913685.49,-64221.9
Madhya Pradesh,2022,132295296.63,-64221.9
Maharashtra,2013,124218362.73,8462169.06
Maharashtra,2014,133517416.89,8462169.06
Maharashtra,2015,143015705.46,8446392.31
Maharashtra,2016,144527100.03,8446392.31
Maharashtra,2017,145729668.87,8446392.31
Maharashtra,2018,155155198.31,8072192.08
Maharashtra,2019,160240237.21,-2611426.97
Maharashtra,2020,167378809.99,-2611426.97
Maharashtra,2021,180879677.26,-1113314.97
Maharashtra,2022,190569634.62,-1113314.97
Manipur,2013,460064.41,-1656614.08
Manipur,2014,479405.3,-1656614.08
Manipur,2015,529719.78,-1660575.58
Manipur,2016,583574.21,-1660575.58
Manipur,2017,529127.64,-1660575.58
Manipur,2018,562915.51,-1650205.19
Manipur,2019,666175.03,-1427478.76
Manipur,2020,756775.5,-1427478.76
Manipur,2021,872632.78,-3998728.76
Manipur,2022,916087.48,-3998728.76
Meghalaya,2013,1479716.93,-3252353.97
Meghalaya,2014,1906241.29,-3252353.97
Meghalaya,2015,2024406.23,-3251439.1
Meghalaya,2016,2284725.27,-3251439.1
Meghalaya,2017,2844409.73,-3251439.1
Meghalaya,2018,3282060.96,-3242799.8
Meghalaya,2019,2927328.27,406398.34
Meghalaya,2020,3076175.08,406398.34
Meghalaya,2021,3179333.06,1906083.34
Meghalaya,2022,2597515.58,1906083.34
Mizoram,2013,317375.5,-1101954.74
Mizoram,2014,318584.98,-1101954.74
Mizoram,2015,316559.54,-1117232.91
Mizoram,2016,334636.36,-1117232.91
Mizoram,2017,351918.42,-1117232.91
Mizoram,2018,355367.07,-1101871.12
Mizoram,2019,373333.48,3223575.59
Mizoram,2020,387542.57,3223575.59
Mizoram,2021,395960.43,5082289.59
Mizoram,2022,405960.52,5082289.59
NCT of Delhi,2013,22185871.97,-42511.59
NCT of Delhi,2014,23175569.16,-42511.59
NCT of Delhi,2015,23032161.06,-41984.08
NCT of Delhi,2016,21879820.28,-41984.08
NCT of Delhi,2017,21390692.11,-41984.08
NCT of Delhi,2018,22809770.01,-42270.99
NCT of Delhi,2019,23478636.74,-88037.23
NCT of Delhi,2020,21971417.54,-88037.23
NCT of Delhi,2021,21271731.15,-39885.03
NCT of Delhi,2022,20363580.66,-39885.03
Nagaland,2013,345932.02,-680463.26
Nagaland,2014,372400.42,-680463.26
Nagaland,2015,414853.17,-663860.55
Nagaland,2016,393885.0,-663860.55
Nagaland,2017,419557.3,-663860.55
Nagaland,2018,459439.15,-661050.02
Nagaland,2019,467283.61,1917556.62
Nagaland,2020,489567.78,1917556.62
Nagaland,2021,497946.56,8250779.12
Nagaland,2022,512316.11,8250779.12
Orissa,2013,80305965.23,-9597421.61
Orissa,2014,86778156.67,-9597421.61
Orissa,2015,94823365.65,-9628148.19
Orissa,2016,99981219.0,-9628148.19
Orissa,2017,112946491.39,-9628148.19
Orissa,2018,132469464.02,-9698948.45
Orissa,2019,134288888.81,-2280655.05
Orissa,2020,131954870.4,-2280655.05
Orissa,2021,144110025.39,-14765310.38
Orissa,2022,159499746.48,-14765310.38
Puducherry,2013,1371052.59,-28149.01
Puducherry,2014,1384043.61,-28149.01
Puducherry,2015,1448868.54,-27910.72
Puducherry,2016,1544321.2,-27910.72
Puducherry,2017,1530629.6,-27910.72
Puducherry,2018,1584692.18,-27828.44
Puducherry,2019,1470462.15,-106474.8
Puducherry,2020,1421570.45,-106474.8
Puducherry,2021,1416772.26,49248.24
Puducherry,2022,1580484.08,49248.24
Punjab,2013,33611320.1,-475894.1
Punjab,2014,35587700.48,-475894.1
Punjab,2015,36050960.07,-477514.37
Punjab,2016,40865238.02,-477514.37
Punjab,2017,40684343.6,-477514.37
Punjab,2018,39058765.41,-480729.55
Punjab,2019,39633210.57,-86410.72
Punjab,2020,39924913.27,-86410.72
Punjab,2021,41944857.87,-1158868.55
Punjab,2022,43623796.68,-1158868.55
Rajasthan,2013,59224317.65,276193.48
Rajasthan,2014,63536268.72,276193.48
Rajasthan,2015,68341537.35,287990.29
Rajasthan,2016,73320562.98,287990.29
Rajasthan,2017,77317845.91,287990.29
Rajasthan,2018,84164854.46,593766.66
Rajasthan,2019,91704496.75,-1156213.91
Rajasthan,2020,96032761.66,-1156213.91
Rajasthan,2021,109308116.35,-5581425.91
Rajasthan,2022,109352472.79,-5581425.91
Sikkim,2013,183149.43,-4215050.17
Sikkim,2014,183613.13,-4215050.17
Sikkim,2015,189895.32,-4126348.69
Sikkim,2016,239769.47,-4126348.69
Sikkim,2017,298590.58,-4126348.69
Sikkim,2018,340614.96,-4099778.56
Sikkim,2019,351787.34,132281.3
Sikkim,2020,354103.31,132281.3
Sikkim,2021,365300.52,238717.3
Sikkim,2022,363578.29,238717.3
Tamil Nadu,2013,82831598.7,2057491.03
Tamil Nadu,2014,89047685.04,2057491.03
Tamil Nadu,2015,95185662.23,2101333.28
Tamil Nadu,2016,102970103.99,2101333.28
Tamil Nadu,2017,105872887.47,2101333.28
Tamil Nadu,2018,107782904.46,2049733.22
Tamil Nadu,2019,118996426.21,-38853901.92
Tamil Nadu,2020,119383773.36,-38853901.92
Tamil Nadu,2021,126715574.54,-2203247.59
Tamil Nadu,2022,126477445.6,-2203247.59
Telangana,2013,675882.07,632694.52
Telangana,2014,675882.07,632694.52
Telangana,2015,625272.11,653762.96
Telangana,2016,625272.11,653762.96
Telangana,2017,625272.11,653762.96
Telangana,2018,655341.18,584457.15
Telangana,2019,10490950.34,31045411.75
Telangana,2020,14404323.47,31045411.75
Telangana,2021,35632485.15,-9976759.92
Telangana,2022,43366386.69,-9976759.92
Tripura,2013,1790022.4,-2943536.91
Tripura,2014,1769660.45,-2943536.91
Tripura,2015,1706802.2,-2947467.91
Tripura,2016,1781964.34,-2947467.91
Tripura,2017,1881311.45,-2947467.91
Tripura,2018,2126107.18,-2941977.15
Tripura,2019,2453455.39,-418813.39
Tripura,2020,2112069.39,-418813.39
Tripura,2021,2140592.77,2409865.94
Tripura,2022,2457515.22,2409865.94
Uttar Pradesh,2013,123954119.86,-5114465.83
Uttar Pradesh,2014,132537671.41,-5114465.83
Uttar Pradesh,2015,138204545.91,-4448152.85
Uttar Pradesh,2016,143857705.88,-4448152.85
Uttar Pradesh,2017,150166937.76,-4448152.85
Uttar Pradesh,2018,158850290.25,-4789678.03
Uttar Pradesh,2019,167986224.0,-1959366.5
Uttar Pradesh,2020,182521025.23,-1959366.5
Uttar Pradesh,2021,190243206.28,-5491143.84
Uttar Pradesh,2022,187543285.5,-5491143.84
Uttaranchal,2013,3410409.05,-540083.35
Uttaranchal,2014,3588972.99,-540083.35
Uttaranchal,2015,4468435.87,-560224.84
Uttaranchal,2016,4693251.55,-560224.84
Uttaranchal,2017,6038934.5,-560224.84
Uttaranchal,2018,6041648.81,-554636.74
Uttaranchal,2019,6822843.9,4991870.73
Uttaranchal,2020,7518426.06,4991870.73
Uttaranchal,2021,12390105.73,-571751.43
Uttaranchal,2022,8372477.9,-571751.43
West Bengal,2013,86923132.02,-20476044.52
West Bengal,2014,91203824.08,-20476044.52
West Bengal,2015,96503943.27,-20476134.44
West Bengal,2016,99452610.16,-20476134.44
West Bengal,2017,106983267.34,-20476134.44
West Bengal,2018,111560978.07,-20510052.71
West Bengal,2019,126221706.68,-1151911.97
West Bengal,2020,133756582.19,-1151911.97
West Bengal,2021,134922435.96,-1151911.97
West Bengal,2022,130388697.77,-1151911.97
