district,state,lat,lon,forest_loss_sq_km
Kamrup Metropolitan,Assam,26.4347,91.752,0.67
Kamrup Metropolitan,Assam,26.168,91.4714,0.95
Kamrup Metropolitan,Assam,26.183,91.7491,0.75
Kamrup Metropolitan,Assam,26.8383,91.8965,0.72
Kamrup Metropolitan,Assam,26.1216,91.5091,0.38
Kamrup Metropolitan,Assam,26.4008,91.5546,0.67
Kamrup Metropolitan,Assam,26.1375,91.7866,0.4
Kamrup Metropolitan,Assam,26.2446,91.7698,0.67
Kamrup Metropolitan,Assam,26.071,91.8255,0.41
Kamrup Metropolitan,Assam,26.4975,91.5471,0.41
Kamrup Metropolitan,Assam,26.1893,91.7483,1.09
Kamrup Metropolitan,Assam,26.1847,91.7464,0.48
Kamrup Metropolitan,Assam,26.1955,91.6671,1.03
Kamrup Metropolitan,Assam,26.2109,91.7382,0.6
Kamrup Metropolitan,Assam,26.2219,91.9442,0.95
Kamrup Metropolitan,Assam,25.9548,91.7313,0.8
Kamrup Metropolitan,Assam,26.2324,91.7552,0.87
Kamrup Metropolitan,Assam,26.1978,91.7251,1.0
Kamrup Metropolitan,Assam,26.0936,91.7259,0.39
Kamrup Metropolitan,Assam,26.1189,91.5927,0.71
Kamrup Metropolitan,Assam,26.213,91.7632,0.98
Kamrup Metropolitan,Assam,26.3166,91.7053,0.97
Kamrup Metropolitan,Assam,26.0161,91.75,0.69
Kamrup Metropolitan,Assam,26.4409,91.7298,0.64
Kamrup Metropolitan,Assam,26.1547,91.7388,0.45
Kamrup Metropolitan,Assam,26.1798,92.0308,0.92
Kamrup Metropolitan,Assam,25.8367,91.6358,0.95
Kamrup Metropolitan,Assam,26.1389,91.7609,0.76
Kamrup Metropolitan,Assam,26.2001,91.802,0.88
Kamrup Metropolitan,Assam,26.3155,91.4724,0.62
Kamrup Metropolitan,Assam,26.1298,91.7352,1.0
Kamrup Metropolitan,Assam,26.1402,91.8638,0.78
Kamrup Metropolitan,Assam,26.2005,91.7187,0.95
Kamrup Metropolitan,Assam,26.1905,91.739,0.58
Kamrup Metropolitan,Assam,26.141,91.7631,0.47
Kamrup Metropolitan,Assam,26.2562,91.6845,1.06
Kamrup Metropolitan,Assam,26.3129,91.8463,0.76
Kamrup Metropolitan,Assam,26.8653,92.3186,0.54
Kamrup Metropolitan,Assam,26.1596,91.7828,0.45
Kamrup Metropolitan,Assam,26.1179,91.8275,0.92
Kamrup Metropolitan,Assam,26.1486,91.7538,0.95
Kamrup Metropolitan,Assam,26.1153,91.6305,1.02
Kamrup Metropolitan,Assam,26.2785,91.8199,0.76
Kamrup Metropolitan,Assam,26.3952,91.8252,0.6
Kamrup Metropolitan,Assam,25.7987,91.4114,1.12
Kamrup Metropolitan,Assam,26.2777,91.6038,0.55
Kamrup Metropolitan,Assam,26.1802,91.7476,0.72
Kamrup Metropolitan,Assam,26.141,91.7534,0.45
Kamrup Metropolitan,Assam,26.2011,91.7046,1.03
Kamrup Metropolitan,Assam,25.9376,91.6655,0.56
Kamrup Metropolitan,Assam,26.2203,91.7481,0.84
Kamrup Metropolitan,Assam,26.1873,91.744,0.86
Kamrup Metropolitan,Assam,26.3199,91.8176,0.46
Kamrup Metropolitan,Assam,26.1706,91.7526,0.94
Kamrup Metropolitan,Assam,26.227,92.0534,0.59
Kamrup Metropolitan,Assam,26.0652,91.545,0.74
Kamrup Metropolitan,Assam,26.3868,91.548,0.58
Kamrup Metropolitan,Assam,26.2186,91.6832,0.62
Kamrup Metropolitan,Assam,26.259,91.6547,0.4
Kamrup Metropolitan,Assam,26.1948,91.7461,0.39
Kamrup Metropolitan,Assam,26.1987,91.7229,0.96
Kamrup Metropolitan,Assam,26.1773,91.7271,1.01
Kamrup Metropolitan,Assam,26.3641,91.5715,0.64
Kamrup Metropolitan,Assam,26.1203,91.7568,0.66
Kamrup Metropolitan,Assam,26.2748,91.9489,1.08
Kamrup Metropolitan,Assam,26.074,91.7116,0.81
Kamrup Metropolitan,Assam,26.2483,91.7569,1.07
Kamrup Metropolitan,Assam,26.711,92.0309,0.97
Kamrup Metropolitan,Assam,26.1733,91.7361,1.04
Kamrup Metropolitan,Assam,26.1699,91.7283,0.88
Kamrup Metropolitan,Assam,26.2313,91.7448,0.59
Kamrup Metropolitan,Assam,26.0525,91.6624,0.68
Kamrup Metropolitan,Assam,26.1102,91.9579,0.87
Kamrup Metropolitan,Assam,26.2159,91.6788,0.63
Kamrup Metropolitan,Assam,26.3517,91.8233,0.59
Kamrup Metropolitan,Assam,26.0443,91.7684,0.62
Kamrup Metropolitan,Assam,25.2838,91.7106,0.87
Kamrup Metropolitan,Assam,26.199,91.7268,0.81
Kamrup Metropolitan,Assam,26.1174,91.7692,0.48
Kamrup Metropolitan,Assam,26.1456,91.7319,0.97
Kamrup Metropolitan,Assam,26.2034,91.8404,0.65
Kamrup Metropolitan,Assam,26.1889,91.747,0.77
Kamrup Metropolitan,Assam,26.1299,91.7581,1.11
Kamrup Metropolitan,Assam,26.2462,91.8174,0.73
Kamrup Metropolitan,Assam,26.1406,91.7011,0.55
Kamrup Metropolitan,Assam,26.1842,91.7432,0.9
Kamrup Metropolitan,Assam,26.1869,91.7438,0.55
Kamrup Metropolitan,Assam,26.2393,91.7769,0.53
Kamrup Metropolitan,Assam,26.2923,91.7604,0.47
Kamrup Metropolitan,Assam,26.0248,91.8945,0.77
Kamrup Metropolitan,Assam,26.1828,91.751,0.73
Kamrup Metropolitan,Assam,26.2595,91.8716,0.38
Kamrup Metropolitan,Assam,26.1672,91.7326,0.64
Kamrup Metropolitan,Assam,26.5313,91.9568,0.57
Kamrup Metropolitan,Assam,26.5453,91.86,0.69
Kamrup Metropolitan,Assam,26.0805,92.0832,1.08
Kamrup Metropolitan,Assam,26.1347,91.0862,0.59
Kamrup Metropolitan,Assam,26.1538,91.7812,0.74
Kamrup Metropolitan,Assam,26.176,91.6679,0.59
Kamrup Metropolitan,Assam,26.1881,91.8117,0.94
Kamrup Metropolitan,Assam,25.9629,91.5311,0.76
Kamrup Metropolitan,Assam,26.1855,91.7654,0.78
Kamrup Metropolitan,Assam,26.0338,91.7484,0.79
Kamrup Metropolitan,Assam,26.155,91.7728,0.93
Kamrup Metropolitan,Assam,26.1567,91.767,0.38
Kamrup Metropolitan,Assam,26.1197,91.8396,0.41
Kamrup Metropolitan,Assam,26.3882,91.7432,0.91
Kamrup Metropolitan,Assam,26.1916,91.6548,0.53
Kamrup Metropolitan,Assam,26.2444,91.4914,0.39
Kamrup Metropolitan,Assam,26.1393,91.7026,0.87
Kamrup Metropolitan,Assam,26.164,91.751,1.01
Kamrup Metropolitan,Assam,26.1934,91.7623,0.69
Kamrup Metropolitan,Assam,26.2337,91.8073,0.76
Kamrup Metropolitan,Assam,26.1342,91.7525,0.39
Kamrup Metropolitan,Assam,26.5157,91.4828,1.04
Kamrup Metropolitan,Assam,26.13,91.8552,1.02
Kamrup Metropolitan,Assam,26.2199,92.0649,1.04
Kamrup Metropolitan,Assam,26.0542,91.7287,0.61
Kamrup Metropolitan,Assam,26.1809,91.7472,1.05
Kamrup Metropolitan,Assam,26.2121,91.7679,1.11
Kamrup Metropolitan,Assam,26.1575,91.7226,0.7
Kamrup Metropolitan,Assam,26.3641,91.5131,0.95
Kamrup Metropolitan,Assam,26.0964,91.7504,0.81
Kamrup Metropolitan,Assam,26.207,91.8257,0.38
Kamrup Metropolitan,Assam,25.9216,91.7121,0.76
Kamrup Metropolitan,Assam,26.1514,91.627,0.89
Kamrup Metropolitan,Assam,26.2484,91.7073,0.6
Kamrup Metropolitan,Assam,26.1002,91.7935,0.85
Kamrup Metropolitan,Assam,26.2489,91.8017,0.95
Kamrup Metropolitan,Assam,26.3774,91.6949,0.55
Kamrup Metropolitan,Assam,26.3995,91.8734,0.47
Kamrup Metropolitan,Assam,26.1832,91.6181,0.84
Kamrup Metropolitan,Assam,26.1927,92.0344,0.7
Kamrup Metropolitan,Assam,26.079,91.7267,0.42
Kamrup Metropolitan,Assam,26.1865,91.7134,0.85
Kamrup Metropolitan,Assam,26.1709,91.8202,1.09
Kamrup Metropolitan,Assam,26.2374,91.7107,1.05
Kamrup Metropolitan,Assam,26.3399,91.7769,1.0
Kamrup Metropolitan,Assam,26.2097,91.7907,0.57
Kamrup Metropolitan,Assam,26.285,91.6967,1.08
Kamrup Metropolitan,Assam,26.2292,91.7947,0.48
Kamrup Metropolitan,Assam,26.3028,91.9106,0.8
Kamrup Metropolitan,Assam,25.9735,91.6765,1.07
Kamrup Metropolitan,Assam,26.1003,91.7854,0.96
Kamrup Metropolitan,Assam,26.2207,91.7098,0.62
Kamrup Metropolitan,Assam,26.1297,91.8078,0.43
Kamrup Metropolitan,Assam,26.1878,91.5951,1.11
Kamrup Metropolitan,Assam,26.304,91.7587,0.54
Kamrup Metropolitan,Assam,26.2094,91.7996,1.1
Kamrup Metropolitan,Assam,26.1909,91.7991,0.41
Kamrup Metropolitan,Assam,26.1891,91.7471,0.96
Kamrup Metropolitan,Assam,26.1445,91.7242,0.38
Kamrup Metropolitan,Assam,26.1122,91.6235,0.76
Kamrup Metropolitan,Assam,26.1957,91.723,0.53
Kamrup Metropolitan,Assam,26.4611,91.7936,0.87
Kamrup Metropolitan,Assam,26.2078,91.7164,0.94
Kamrup Metropolitan,Assam,26.1372,91.6763,0.55
Kamrup Metropolitan,Assam,26.1794,91.7338,0.8
Kamrup Metropolitan,Assam,26.1771,91.7335,0.87
Kamrup Metropolitan,Assam,26.3024,91.6498,0.93
Kamrup Metropolitan,Assam,26.1025,91.6635,0.46
Kamrup Metropolitan,Assam,26.091,91.7847,0.48
Kamrup Metropolitan,Assam,25.95,91.903,0.93
Kamrup Metropolitan,Assam,26.3354,91.7693,0.97
Kamrup Metropolitan,Assam,26.1398,91.7703,1.05
Kamrup Metropolitan,Assam,26.072,91.792,0.77
Kamrup Metropolitan,Assam,26.3794,91.7955,1.0
Kamrup Metropolitan,Assam,26.178,91.7264,0.53
Kamrup Metropolitan,Assam,25.9171,91.0724,0.69
Kamrup Metropolitan,Assam,26.2354,91.7131,0.76
Kamrup Metropolitan,Assam,26.1503,91.8171,0.53
Kamrup Metropolitan,Assam,26.1576,91.8631,1.11
Kamrup Metropolitan,Assam,26.3614,91.4965,0.61
Kamrup Metropolitan,Assam,25.9744,90.8708,0.63
Kamrup Metropolitan,Assam,25.9614,92.1942,1.11
Kamrup Metropolitan,Assam,26.1997,91.7456,0.87
Kamrup Metropolitan,Assam,26.1995,91.7786,1.12
Kamrup Metropolitan,Assam,26.2339,91.7777,0.96
Kamrup Metropolitan,Assam,26.2015,91.5937,0.58
Kamrup Metropolitan,Assam,26.1449,91.7688,0.7
Kamrup Metropolitan,Assam,26.3978,92.0125,0.76
Kamrup Metropolitan,Assam,26.2982,91.8052,1.02
Kamrup Metropolitan,Assam,26.0076,91.8652,0.57
Kamrup Metropolitan,Assam,25.7132,91.5488,0.95
Kamrup Metropolitan,Assam,26.1842,91.7453,0.79
Kamrup Metropolitan,Assam,25.9236,92.1191,0.48
Kamrup Metropolitan,Assam,26.3426,91.6775,0.88
Kamrup Metropolitan,Assam,26.0946,91.6439,0.67
Kamrup Metropolitan,Assam,26.265,91.8726,0.48
Kamrup Metropolitan,Assam,26.3386,91.6787,0.48
Kamrup Metropolitan,Assam,26.2781,91.9988,1.03
Kamrup Metropolitan,Assam,26.1073,91.9545,0.44
Kamrup Metropolitan,Assam,26.151,91.762,0.93
Kamrup Metropolitan,Assam,26.1832,91.7573,1.06
Kamrup Metropolitan,Assam,26.5381,91.2045,0.63
Kamrup Metropolitan,Assam,26.1449,91.7276,0.81
Kamrup Metropolitan,Assam,26.2031,91.7626,0.7
Kamrup Metropolitan,Assam,26.1578,91.7155,0.88
Kamrup Metropolitan,Assam,26.2922,91.774,0.7
Kamrup Metropolitan,Assam,26.3621,91.5877,1.09
Kamrup Metropolitan,Assam,25.9246,91.4645,0.65
Kamrup Metropolitan,Assam,26.1386,91.9275,0.7
Kamrup Metropolitan,Assam,26.2343,91.7008,0.43
Kamrup Metropolitan,Assam,26.2669,91.6251,0.84
Kamrup Metropolitan,Assam,26.1582,91.7198,0.76
Kamrup Metropolitan,Assam,26.1883,91.6858,0.78
Kamrup Metropolitan,Assam,26.2431,91.5919,0.69
Kamrup Metropolitan,Assam,26.1264,91.6909,1.02
Kamrup Metropolitan,Assam,26.2768,91.7991,0.77
Kamrup Metropolitan,Assam,26.0612,91.488,0.53
Kamrup Metropolitan,Assam,26.2393,91.4259,0.9
Kamrup Metropolitan,Assam,26.2587,91.7161,0.46
Kamrup Metropolitan,Assam,26.1586,91.759,0.88
Kamrup Metropolitan,Assam,26.126,91.7245,0.49
Kamrup Metropolitan,Assam,26.2364,91.7149,0.67
Kamrup Metropolitan,Assam,26.2275,91.759,0.4
Kamrup Metropolitan,Assam,26.1927,91.6768,0.52
Kamrup Metropolitan,Assam,26.4115,91.7483,0.83
Kamrup Metropolitan,Assam,26.174,91.7481,0.93
Kamrup Metropolitan,Assam,26.0436,91.8207,0.83
Kamrup Metropolitan,Assam,25.9773,91.7118,0.76
Kamrup Metropolitan,Assam,26.2437,91.8715,0.42
Kamrup Metropolitan,Assam,26.151,92.0157,1.08
Kamrup Metropolitan,Assam,26.1805,91.7917,0.64
Kamrup Metropolitan,Assam,26.1674,91.8021,1.04
Kamrup Metropolitan,Assam,26.2391,91.7198,0.73
Kamrup Metropolitan,Assam,26.193,91.6992,0.45
Kamrup Metropolitan,Assam,26.1232,91.7647,0.39
Kamrup Metropolitan,Assam,26.3493,91.8062,0.8
Kamrup Metropolitan,Assam,26.1935,91.7505,0.54
Kamrup Metropolitan,Assam,26.3226,91.8243,0.47
Kamrup Metropolitan,Assam,25.9572,91.9533,1.07
Kamrup Metropolitan,Assam,26.1047,91.8806,0.53
Kamrup Metropolitan,Assam,26.0476,91.5089,0.81
Kamrup Metropolitan,Assam,26.0376,91.5518,0.61
Kamrup Metropolitan,Assam,26.0376,92.1556,0.9
Kamrup Metropolitan,Assam,26.284,91.9156,1.01
Kamrup Metropolitan,Assam,26.2054,91.7483,0.47
Kamrup Metropolitan,Assam,26.0237,92.132,0.53
Kamrup Metropolitan,Assam,25.9555,91.8023,0.94
Kamrup Metropolitan,Assam,26.1474,91.7843,1.12
Kamrup Metropolitan,Assam,26.1894,91.7605,0.94
Kamrup Metropolitan,Assam,26.1485,91.7642,0.66
Kamrup Metropolitan,Assam,26.1527,91.8559,0.94
Kamrup Metropolitan,Assam,26.1848,91.7451,0.84
Kamrup Metropolitan,Assam,26.1649,91.5015,0.83
Kamrup Metropolitan,Assam,25.7373,92.1137,0.69
Kamrup Metropolitan,Assam,26.2252,91.7233,1.11
Kamrup Metropolitan,Assam,26.1891,91.7941,0.77
Kamrup Metropolitan,Assam,26.2362,91.764,0.38
Kamrup Metropolitan,Assam,26.184,91.7439,0.96
Kamrup Metropolitan,Assam,26.192,92.2205,1.04
Kamrup Metropolitan,Assam,26.3309,91.7196,0.98
Kamrup Metropolitan,Assam,26.105,91.4229,0.6
Kamrup Metropolitan,Assam,26.1334,91.7518,0.92
Kamrup Metropolitan,Assam,26.2693,91.788,1.09
Kamrup Metropolitan,Assam,26.1553,91.938,0.94
Kamrup Metropolitan,Assam,26.4245,91.7711,1.01
Kamrup Metropolitan,Assam,26.1465,91.7559,0.49
Kamrup Metropolitan,Assam,26.4402,91.8977,0.46
Kamrup Metropolitan,Assam,26.187,91.7497,0.46
Kamrup Metropolitan,Assam,26.1833,91.7525,0.64
Kamrup Metropolitan,Assam,26.0804,91.6715,0.59
Kamrup Metropolitan,Assam,26.1524,91.5965,0.63
Kamrup Metropolitan,Assam,26.2442,91.7794,0.51
Kamrup Metropolitan,Assam,26.1779,91.7412,0.76
Kamrup Metropolitan,Assam,26.1663,91.7559,0.47
Kamrup Metropolitan,Assam,26.1211,91.7953,0.99
Kamrup Metropolitan,Assam,26.184,91.7297,0.79
Kamrup Metropolitan,Assam,26.3298,91.7414,0.97
Kamrup Metropolitan,Assam,26.3455,92.3635,0.86
Kamrup Metropolitan,Assam,26.258,91.6935,0.95
Kamrup Metropolitan,Assam,26.2795,91.7577,0.45
Kamrup Metropolitan,Assam,26.1741,91.7832,0.62
Kamrup Metropolitan,Assam,26.2349,91.6984,0.82
Kamrup Metropolitan,Assam,26.1684,91.747,0.8
Kamrup Metropolitan,Assam,26.2269,91.7609,0.64
Kamrup Metropolitan,Assam,26.3413,91.6802,0.67
Kamrup Metropolitan,Assam,26.2209,91.785,0.54
Kamrup Metropolitan,Assam,26.6,91.4287,0.51
Kamrup Metropolitan,Assam,26.123,91.7271,0.59
Kamrup Metropolitan,Assam,26.2629,91.7347,0.53
Kamrup Metropolitan,Assam,26.1285,91.6617,0.9
Kamrup Metropolitan,Assam,26.0118,91.8896,0.9
Kamrup Metropolitan,Assam,26.0568,91.911,0.85
Kamrup Metropolitan,Assam,26.1043,91.5559,1.03
Kamrup Metropolitan,Assam,26.0831,91.6997,0.84
Kamrup Metropolitan,Assam,26.1726,91.7894,0.45
Kamrup Metropolitan,Assam,26.2536,91.8067,0.4
Kamrup Metropolitan,Assam,26.1478,91.713,0.8
Kamrup Metropolitan,Assam,26.104,91.7378,0.52
Kamrup Metropolitan,Assam,26.2394,91.6235,0.47
Kamrup Metropolitan,Assam,26.2594,91.7231,0.94
Kamrup Metropolitan,Assam,26.1317,92.105,0.46
Kamrup Metropolitan,Assam,26.4429,92.0592,1.06
Kamrup Metropolitan,Assam,26.1935,91.7389,0.99
Kamrup Metropolitan,Assam,25.9043,91.6754,0.45
Kamrup Metropolitan,Assam,26.0368,91.3504,0.59
Kamrup Metropolitan,Assam,26.0262,91.9139,0.58
Kamrup Metropolitan,Assam,25.9676,91.5532,0.79
Kamrup Metropolitan,Assam,26.2072,91.7498,1.01
Kamrup Metropolitan,Assam,26.1833,91.7675,0.68
Kamrup Metropolitan,Assam,26.2009,91.7299,0.59
Kamrup Metropolitan,Assam,26.3502,91.7694,0.38
Kamrup Metropolitan,Assam,26.1544,91.7444,1.07
Kamrup Metropolitan,Assam,26.1879,91.6663,0.52
Kamrup Metropolitan,Assam,26.402,91.5474,0.7
Kamrup Metropolitan,Assam,26.1637,91.716,1.06
Kamrup Metropolitan,Assam,26.2629,91.8519,0.7
Kamrup Metropolitan,Assam,26.1975,91.7606,0.71
Kamrup Metropolitan,Assam,25.9296,91.9019,1.01
Kamrup Metropolitan,Assam,26.1978,91.9034,0.78
Kamrup Metropolitan,Assam,26.2409,91.8604,0.61
Kamrup Metropolitan,Assam,26.1845,91.7464,0.73
Kamrup Metropolitan,Assam,26.1353,91.7739,0.52
Kamrup Metropolitan,Assam,26.1807,91.7495,0.5
Kamrup Metropolitan,Assam,26.0532,91.3018,0.89
Kamrup Metropolitan,Assam,26.063,91.7517,0.98
Kamrup Metropolitan,Assam,26.33,91.7589,0.99
Kamrup Metropolitan,Assam,26.1119,91.8547,0.44
Kamrup Metropolitan,Assam,26.1843,91.8063,0.85
Kamrup Metropolitan,Assam,26.5345,91.6598,0.7
Kamrup Metropolitan,Assam,25.8252,91.783,0.95
Kamrup Metropolitan,Assam,26.1816,91.7522,1.01
Kamrup Metropolitan,Assam,26.3776,91.6604,1.07
Kamrup Metropolitan,Assam,26.1667,91.7985,0.67
Kamrup Metropolitan,Assam,26.1226,91.6042,0.68
Kamrup Metropolitan,Assam,26.3037,91.6185,0.99
Kamrup Metropolitan,Assam,26.4175,91.5892,0.82
Kamrup Metropolitan,Assam,25.9115,92.0966,0.65
Kamrup Metropolitan,Assam,26.1534,91.9041,1.03
Kamrup Metropolitan,Assam,26.2157,91.7861,0.59
Kamrup Metropolitan,Assam,26.1098,91.7671,0.59
Kamrup Metropolitan,Assam,26.1231,91.8772,0.67
Kamrup Metropolitan,Assam,26.0932,91.7568,0.91
Kamrup Metropolitan,Assam,26.1257,91.6308,0.77
Kamrup Metropolitan,Assam,26.186,91.7462,0.85
Kamrup Metropolitan,Assam,26.1823,91.7429,0.66
Kamrup Metropolitan,Assam,26.2402,91.7474,0.94
Kamrup Metropolitan,Assam,25.9246,91.8602,0.84
Kamrup Metropolitan,Assam,26.11,91.888,0.99
Kamrup Metropolitan,Assam,26.26,91.6622,1.07
Kamrup Metropolitan,Assam,26.1109,91.683,0.69
Kamrup Metropolitan,Assam,26.0495,91.6599,0.85
Kamrup Metropolitan,Assam,26.1954,91.7802,0.94
Kamrup Metropolitan,Assam,26.1973,91.6276,0.52
Kamrup Metropolitan,Assam,26.1947,91.6271,0.64
Kamrup Metropolitan,Assam,26.1199,91.7866,0.93
Kamrup Metropolitan,Assam,26.1978,91.8731,0.86
Kamrup Metropolitan,Assam,26.1831,91.7153,0.71
Kamrup Metropolitan,Assam,26.1835,91.7468,0.44
Kamrup Metropolitan,Assam,26.1903,91.6523,0.69
Kamrup Metropolitan,Assam,26.0731,91.647,1.02
Kamrup Metropolitan,Assam,26.1696,91.7277,0.81
Kamrup Metropolitan,Assam,25.3391,91.3411,0.73
Kamrup Metropolitan,Assam,26.1813,91.7278,1.11
Kamrup Metropolitan,Assam,26.4309,91.7266,0.78
Kamrup Metropolitan,Assam,26.1806,91.7464,0.95
Kamrup Metropolitan,Assam,26.2814,91.8245,0.79
Kamrup Metropolitan,Assam,26.1905,91.7794,0.59
Kamrup Metropolitan,Assam,26.0729,91.7181,1.03
Kamrup Metropolitan,Assam,26.1685,91.7425,1.01
Kamrup Metropolitan,Assam,26.4451,91.6906,0.84
Kamrup Metropolitan,Assam,25.9543,91.7037,0.42
Kamrup Metropolitan,Assam,26.2915,91.8505,0.94
Kamrup Metropolitan,Assam,26.1736,91.7285,0.79
Kamrup Metropolitan,Assam,26.3521,91.8206,0.92
Kamrup Metropolitan,Assam,25.7665,92.5747,0.95
Kamrup Metropolitan,Assam,25.7459,91.7788,1.07
Kamrup Metropolitan,Assam,26.1669,91.7783,0.53
Kamrup Metropolitan,Assam,26.2263,91.732,0.85
Kamrup Metropolitan,Assam,26.202,91.727,0.77
Kamrup Metropolitan,Assam,26.1077,91.5411,0.89
Kamrup Metropolitan,Assam,26.187,91.748,0.56
Kamrup Metropolitan,Assam,26.1025,91.5528,0.49
Kamrup Metropolitan,Assam,26.1628,91.6626,0.8
Kamrup Metropolitan,Assam,26.1783,91.7451,0.54
Kamrup Metropolitan,Assam,26.2799,91.5372,0.59
Kamrup Metropolitan,Assam,26.176,91.882,0.98
Kamrup Metropolitan,Assam,26.1208,91.534,0.47
Kamrup Metropolitan,Assam,26.2057,91.7381,0.55
Kamrup Metropolitan,Assam,25.9494,91.5465,0.98
Kamrup Metropolitan,Assam,26.3424,91.8365,0.56
Kamrup Metropolitan,Assam,25.5089,91.8061,0.4
Kamrup Metropolitan,Assam,25.6842,91.8866,0.81
Kamrup Metropolitan,Assam,27.0872,92.0001,0.83
Kamrup Metropolitan,Assam,26.1914,91.7295,0.58
Kamrup Metropolitan,Assam,26.2264,91.7475,0.85
Kamrup Metropolitan,Assam,26.1757,91.8545,0.99
Kamrup Metropolitan,Assam,26.119,91.8823,0.65
Kamrup Metropolitan,Assam,26.1894,91.7451,0.38
Kamrup Metropolitan,Assam,26.0679,91.8748,0.64
Kamrup Metropolitan,Assam,26.0741,91.2892,0.5
Kamrup Metropolitan,Assam,26.1495,91.6161,0.54
Kamrup Metropolitan,Assam,26.3508,91.7771,1.08
Kamrup Metropolitan,Assam,25.9584,91.8838,0.84
Kamrup Metropolitan,Assam,26.3165,91.4152,0.77
Kamrup Metropolitan,Assam,25.9982,91.892,0.49
Kamrup Metropolitan,Assam,26.1903,91.8558,0.73
Kamrup Metropolitan,Assam,26.104,91.7645,1.04
Kamrup Metropolitan,Assam,25.9814,91.6393,0.58
Kamrup Metropolitan,Assam,26.3173,91.6168,0.6
Kamrup Metropolitan,Assam,26.1399,91.7166,0.59
Kamrup Metropolitan,Assam,26.1941,91.7199,0.92
Kamrup Metropolitan,Assam,26.1823,91.7574,0.66
Kamrup Metropolitan,Assam,25.9574,91.6191,1.01
Kamrup Metropolitan,Assam,26.5077,91.8288,0.58
Kamrup Metropolitan,Assam,26.303,91.0465,0.8
Kamrup Metropolitan,Assam,26.19,91.6365,0.97
Kamrup Metropolitan,Assam,26.1739,91.7687,0.42
Kamrup Metropolitan,Assam,26.188,91.7424,0.53
Kamrup Metropolitan,Assam,26.1544,91.7943,0.4
Kamrup Metropolitan,Assam,26.2003,91.7643,0.42
Kamrup Metropolitan,Assam,26.3363,91.7331,0.54
Kamrup Metropolitan,Assam,26.2921,92.067,0.73
Kamrup Metropolitan,Assam,26.8678,92.0474,0.39
Kamrup Metropolitan,Assam,26.3931,91.7701,0.62
Kamrup Metropolitan,Assam,26.3217,91.6136,0.5
Kamrup Metropolitan,Assam,26.3103,92.0813,0.51
Kamrup Metropolitan,Assam,26.188,91.7264,0.83
Kamrup Metropolitan,Assam,26.1975,91.7573,0.9
Kamrup Metropolitan,Assam,26.1905,91.7095,0.62
Kamrup Metropolitan,Assam,26.108,91.7027,0.83
Kamrup Metropolitan,Assam,26.154,91.6331,0.67
Kamrup Metropolitan,Assam,26.1953,91.7534,0.45
Kamrup Metropolitan,Assam,26.1987,91.7471,0.47
Kamrup Metropolitan,Assam,26.0284,91.6861,0.91
