paper_id,title,topic,citations,year,cluster,arxiv_id,pca_x,pca_y
79,Predicting Deep Zero-Shot Convolutional Neural Networks using Textual Descriptions,Visual-Video,3000,2015,16,1506.00511v2,0.10315086473085461,0.3345579232548758
80,Recognition of convolutional neural network based on CUDA Technology,Networks-Neural,3000,2015,0,1506.00074v2,-0.168694447434576,0.18133376658399633
81,On the computational complexity of evolution,Problem-Algorithm,3000,2015,18,1506.00095v2,-0.32676425613856197,-0.12686620251403716
82,A Novel Energy Aware Node Clustering Algorithm for Wireless Sensor Networks Using a Modified Artificial Fish Swarm Algorithm,Problem-Algorithm,3000,2015,18,1506.00099v1,-0.30796480813984806,0.09770119010998042
83,Design and implementation for automated network troubleshooting using data mining,Networks-Neural,3000,2015,0,1506.00108v1,-0.04358569173237059,0.1845309942967764
84,Recurrent Neural Networks with External Memory for Language Understanding,Networks-Neural,3000,2015,0,1506.00195v1,0.032784156208427284,0.02558118378292786
85,Phase Transitions for the Uniform Distribution in the PML Problem and its Bethe Approximation,Problem-Algorithm,3000,2015,18,1506.00753v1,-0.26960706539944473,-0.0871729780809858
86,Spectrum Monitoring Using Energy Ratio Algorithm For OFDM-Based Cognitive Radio Networks,User-Users,3000,2015,13,1506.06213v1,-0.28490223474015797,0.01153843787381473
87,Pose Estimation Based on 3D Models,Image-Images,3000,2015,10,1506.06274v1,0.021762095152644136,0.09685625450471831
88,On Modeling Heterogeneous Wireless Networks Using Non-Poisson Point Processes,Networks-Neural,3000,2015,0,1506.06296v1,-0.1083625039388979,0.12482530944373198
89,Graph-based compression of dynamic 3D point cloud sequences,3D-Images,3000,2015,7,1506.06096v1,-0.3066205613578144,-0.09862063229162384
90,GRINS: A Multiphysics Framework Based on the libMesh Finite Element Library,Systems-Information,3000,2015,3,1506.06102v1,-0.07004487478043052,-0.1549141879392071
91,Nonparametric Bayesian Double Articulation Analyzer for Direct Language Acquisition from Continuous Speech Signals,Speech-Recognition,3000,2015,9,1506.06646v2,0.2652603253919789,-0.07318625023362951
92,Beyond Triangles: A Distributed Framework for Estimating 3-profiles of Large Graphs,Graph-Graphs,3000,2015,2,1506.06671v1,-0.4081916061343708,-0.144231833206801
93,GraphMaps: Browsing Large Graphs as Interactive Maps,Graph-Graphs,3000,2015,2,1506.06745v1,-0.25653813814210713,-0.15250355860221682
94,Learning Discriminative Bayesian Networks from High-dimensional Continuous Neuroimaging Data,Learning-Deep,3000,2015,12,1506.06868v1,0.10694451672950563,0.275901220178058
95,How do OSS projects change in number and size? A large-scale analysis to test a model of project growth,Text-Datasets,3000,2015,5,1506.06924v1,-0.04972614139236447,-0.08361325767912248
96,LCSTS: A Large Scale Chinese Short Text Summarization Dataset,Text-Datasets,3000,2015,5,1506.05865v4,0.05974677288067471,-0.11453418836790193
97,Multi-weighted Automata and MSO Logic,Systems-Information,3000,2015,3,1506.06024v1,-0.012406944623685042,-0.046626129798178456
98,Incremental RANSAC for Online Relocation in Large Dynamic Environments,Problem-Algorithm,3000,2015,18,1506.07236v2,-0.23419021569140866,-0.07395725617489199
99,Ask Me Anything: Dynamic Memory Networks for Natural Language Processing,Text-Datasets,3000,2015,5,1506.07285v5,0.12464575213268929,-0.011001344554294752
100,A Deep Memory-based Architecture for Sequence-to-Sequence Learning,Networks-Neural,3000,2015,0,1506.06442v4,0.12225279817227384,0.3263512434173516
101,"A Theory of Local Learning, the Learning Channel, and the Optimality of Backpropagation",Learning-Deep,2500,2015,12,1506.06472v2,-0.00018380893650558265,0.4142200610392531
102,Distributional Sentence Entailment Using Density Matrices,Model-Models,2510,2015,6,1506.06534v2,0.02978408187098198,0.0171079575567144
103,Synchronization of Bernoulli sequences on shared letters,Systems-Information,2520,2015,3,1506.06537v2,-0.012485294587915753,-0.1342023657254906
104,Filling the Complexity Gaps for Colouring Planar and Bounded Degree Graphs,Graph-Graphs,2530,2015,2,1506.06564v5,-0.3465063514004936,-0.16139678186322512
105,Impact of Node Speed on Throughput of Energy-Constrained Mobile Networks with Wireless Power Transfer,Networks-Neural,2540,2015,0,1506.06575v2,-0.11963506260826412,0.05252579065095903
106,"Parallel Multi-Dimensional LSTM, With Application to Fast Biomedical Volumetric Image Segmentation",3D-Images,2550,2015,7,1506.07452v1,-0.04771290470323507,0.1049453750819408
107,The GPU vs Phi Debate: Risk Analytics Using Many-Core Computing,Data-Model,2560,2015,8,1501.06326v1,0.0013003802014544203,-0.07030209839776186
108,GPU Programming - Speeding Up the 3D Surface Generator VESTA,3D-Images,2570,2015,7,1501.06364v1,-0.08775020419115426,-0.0064952072474314644
109,On the stability of asynchronous Random Access Schemes,Systems-Information,2580,2015,3,1501.07072v1,-0.09258718790544672,-0.049305179619943865
110,Consensus Game Acceptors and Iterated Transductions,Systems-Information,2590,2015,3,1501.07131v3,-0.05870384801948639,-0.15735023048654898
111,Structural Patterns of the Occupy Movement on Facebook,User-Users,2600,2015,13,1501.07203v1,-0.14162635564621648,-0.12466618432898229
112,Spatio-Temporal Techniques for User Identification by means of GPS Mobility Data,User-Users,2610,2015,13,1501.06814v3,-0.0023260891886672085,-0.10804498129794114
113,Efficient refinement of GPS-based localization in urban areas using visual information and sensor parameter,Image-Images,2620,2015,10,1502.00319v3,0.009860751766398196,0.029018739880704227
114,Heterogeneous Cellular Networks Using Wireless Backhaul: Fast Admission Control and Large System Analysis,Problem-Algorithm,2630,2015,18,1501.06988v2,-0.31992594460517015,-0.07000850146115607
115,Finding Connected Dense $k$-Subgraphs,Graph-Graphs,2640,2015,2,1501.07348v1,-0.41373808432219156,-0.17643160610351022
116,Throughput of a Cognitive Radio Network under Congestion Constraints: A Network-Level Study,Networks-Neural,2650,2015,0,1501.07510v2,-0.1432877955978977,0.10212726212845044
117,Abelian bordered factors and periodicity,Systems-Information,2660,2015,3,1501.07464v1,-0.039857449720724206,-0.11786027805426065
118,Scaling Recurrent Neural Network Language Models,Model-Models,2670,2015,6,1502.00512v1,0.15647706831781763,-0.07939307518644535
119,Error-Correcting Factorization,Problem-Algorithm,2680,2015,18,1502.07976v2,-0.14345021715022488,0.02223558247542269
120,Sequential Feature Explanations for Anomaly Detection,Detection-Based,2690,2015,1,1503.00038v1,-0.013834273244639423,0.011209917220573205
121,Estimating the Potential Speedup of Computer Vision Applications on Embedded Multiprocessors,Systems-Information,2700,2015,3,1502.07446v1,-0.08091217611959982,-0.01746520402813486
122,Aspect-oriented linearizability proofs,Problem-Algorithm,2710,2015,18,1502.07639v2,-0.14564108683464388,-0.04428425475868044
123,On the complexity of computing the $k$-restricted edge-connectivity of a graph,Graph-Graphs,2720,2015,2,1502.07659v2,-0.32340668750625134,-0.14922907777845607
124,A Comparative Study of Scheduling Techniques for Multimedia Applications on SIMD Pipelines,Systems-Information,2730,2015,3,1502.07447v1,-0.0707535115298914,-0.07786309942441565
125,Model-checking branching-time properties of probabilistic automata and probabilistic one-counter automata,Problem-Algorithm,2740,2015,18,1502.07549v2,-0.1656587508631539,-0.06466927956780937
126,An approximation algorithm for the longest cycle problem in solid grid graphs,Graph-Graphs,2750,2015,2,1502.07085v1,-0.4625264550566028,-0.1434565958265124
127,Optimal Sparse Linear Auto-Encoders and Sparse PCA,Problem-Algorithm,2760,2015,18,1502.06626v1,-0.19664564405017668,-0.027406421457015828
128,Accelerating Very Deep Convolutional Networks for Classification and Detection,Networks-Neural,2770,2015,0,1505.06798v2,-0.052672200162247516,0.2538857573904538
129,Sequential Dimensionality Reduction for Extracting Localized Features,Image-Images,2780,2015,10,1505.06957v2,0.018217672019914262,0.058061801884598266
130,Limit theory of discrete mathematics problems,Problem-Algorithm,2790,2015,18,1505.06984v3,-0.2902954111454933,-0.13456040241794798
131,Image Reconstruction from Bag-of-Visual-Words,Image-Images,2800,2015,10,1505.05190v1,0.03916006857624782,0.11156766677841512
132,Simulation Algorithms with Exponential Integration for Time-Domain Analysis of Large-Scale Power Delivery Networks,Text-Datasets,2810,2015,5,1505.06699v3,-0.10931418644042286,-0.016525113390354722
133,Every super-polynomial proof in purely implicational minimal logic has a polynomially sized proof in classical implicational propositional logic,Systems-Information,2820,2015,3,1505.06506v3,-0.0674721717880269,-0.08680236034062197
134,Affine and Regional Dynamic Time Warpng,Problem-Algorithm,2830,2015,18,1505.06531v1,-0.1474847889775611,0.010582827168941902
135,Rendering-as-a-Service: Taxonomy and Comparison,3D-Images,2840,2015,7,1505.06543v1,0.08023689926077403,-0.05898983517572819
136,Model Checking Parameterized Asynchronous Shared-Memory Systems,Systems-Information,2850,2015,3,1505.06588v1,-0.1497200731833394,-0.08960603139023385
137,"Expresso : A user-friendly GUI for Designing, Training and Exploring Convolutional Neural Networks",Networks-Neural,2860,2015,0,1505.06605v2,0.02812006083995313,0.23536549813478608
138,Towards Optimal Adaptive Wireless Communications in Unknown Environments,Adversarial-Attacks,2870,2015,14,1505.06608v8,-0.20096565583639267,0.07496049983901452
139,Fair task allocation in transportation,Task-Tasks,2880,2015,15,1505.07434v3,-0.22000860439350098,-0.06690360939850823
140,Encog: Library of Interchangeable Machine Learning Models for Java and C#,Learning-Deep,2890,2015,12,1506.04776v1,0.20128911323740184,0.19910105658641544
141,Sequential Consistency and Concurrent Data Structures,Data-Model,2900,2015,8,1506.04910v1,0.15824938882984385,-0.014465157509662803
142,Linear-Time Sequence Comparison Using Minimal Absent Words & Applications,Systems-Information,2910,2015,3,1506.04917v2,-0.18755329409527116,-0.030376009756014184
143,CamFlow: Managed Data-sharing for Cloud Services,Data-Model,2920,2015,8,1506.04391v3,0.12974738569289038,-0.035143306629464646
144,Understanding Civil War Violence through Military Intelligence: Mining Civilian Targeting Records from the Vietnam War,Data-Model,2930,2015,8,1506.05413v1,0.1134455141542714,0.08506735044939061
145,A Decentralized Parallelization-in-Time Approach with Parareal,Communication-Networks,2940,2015,17,1506.05157v2,-0.16179337184867915,-0.044704302524557274
146,Deep Convolutional Networks on Graph-Structured Data,Networks-Neural,2950,2015,0,1506.05163v1,-0.024453834400810066,0.20243432352263144
147,"Anxiety, Alcohol, and Academics: A Textual Analysis of Student Facebook Confessions Pages",User-Users,2960,2015,13,1506.05193v4,-0.12169185081078399,-0.11514024550224555
148,SAT-based Analysis of Large Real-world Feature Models is Easy,Text-Datasets,2970,2015,5,1506.05198v3,0.06468937064653596,-0.10915449858417355
149,Defending Grey Attacks by Exploiting Wavelet Analysis in Collaborative Filtering Recommender Systems,Adversarial-Attacks,2980,2015,14,1506.05247v2,-0.008534935402818352,0.033158960850535296
150,Decentralized Energy Allocation for Wireless Networks with Renewable Energy Powered Base Stations,Problem-Algorithm,2990,2015,18,1506.05549v1,-0.16999454594152041,0.006595617273493801
151,Emergence of synchrony in an Adaptive Interaction Model,Model-Models,3000,2015,6,1506.05573v1,0.07936456018299275,-0.09008774853830571
152,Asynchronous processing of Coq documents: from the kernel up to the user interface,User-Users,3000,2015,13,1506.05605v1,-0.06581436233729152,-0.11044631262327871
153,Query Expansion for Survey Question Retrieval in the Social Sciences,Data-Model,3000,2015,8,1506.05672v1,0.03836759866036732,-0.1288661624537334
154,Re-scale AdaBoost for Attack Detection in Collaborative Filtering Recommender Systems,Detection-Based,3000,2015,1,1506.04584v1,-0.003355680938801361,0.07192574986086014
155,An O(m^2 log m)-Competitive Algorithm for Online Machine Minimization,Problem-Algorithm,3000,2015,18,1506.05721v1,-0.41604188686644056,-0.0828039538019665
156,A Non-stationary Service Curve Model for Performance Analysis of Transient Phases,Networks-Neural,3000,2015,0,1506.04657v1,-0.04375378402407454,0.060277095014076465
157,Using Hankel Matrices for Dynamics-based Facial Emotion Recognition and Pain Detection,Detection-Based,3000,2015,1,1506.05001v1,-0.0018791268066297457,0.14776411871750625
158,Join Processing for Graph Patterns: An Old Dog with New Tricks,Graph-Graphs,3000,2015,2,1503.04169v2,-0.2868759421476986,-0.12919743268085282
159,Short Text Hashing Improved by Integrating Multi-Granularity Topics and Tags,Text-Datasets,3000,2015,5,1503.02801v1,0.025999929942728126,-0.029503070762465645
160,Mobile Node Localization via Pareto Optimization: Algorithm and Fundamental Performance Limitations,Problem-Algorithm,3000,2015,18,1503.02878v1,-0.17910657571224955,0.07519942958837082
161,Financial Market Prediction,Data-Model,3000,2015,8,1503.02328v1,0.04732482689552214,0.13434276185861702
162,Buffer Aided Relaying Improves Both Throughput and End-to-End Delay,Systems-Information,3000,2015,3,1503.02348v1,-0.08314596992867627,-0.06105899933578061
163,Context-Dependent Translation Selection Using Convolutional Neural Network,Networks-Neural,3000,2015,0,1503.02357v2,0.09084660792498427,0.12014008195691216
164,"Reproducibility in Research: Systems, Infrastructure, Culture",Systems-Information,3000,2015,3,1503.02388v2,-0.0383666878228477,-0.12615839515646166
165,Starting engagement detection towards a companion robot using multimodal features,Detection-Based,3000,2015,1,1503.03732v1,-0.012618450417513258,-0.005269545795821037
166,The Discrete Cosine Transform over Prime Finite Fields,Systems-Information,3000,2015,3,1503.03763v1,-0.17075280542083734,-0.07481343811225591
167,Faster 64-bit universal hashing using carry-less multiplications,Systems-Information,3000,2015,3,1503.03465v8,-0.1299364464076399,-0.0869827892946033
168,Low-Level Features for Image Retrieval Based on Extraction of Directional Binary Patterns and Its Oriented Gradients Histogram,Image-Images,3000,2015,10,1503.03606v1,-0.026541494068114683,0.11017616522450709
169,Dynamic Service Placement for Mobile Micro-Clouds with Predicted Future Costs,Problem-Algorithm,3000,2015,18,1503.02735v2,-0.27534300214948093,-0.024973677401323714
170,"Exploring Strategy-Proofness, Uniqueness, and Pareto Optimality for the Stable Matching Problem with Couples",Problem-Algorithm,3000,2015,18,1505.03463v1,-0.3995972441438433,-0.11854192868474724
171,Brain Tumor Segmentation with Deep Neural Networks,Networks-Neural,3000,2015,0,1505.03540v3,-0.0028951155029553867,0.3426896894177908
172,COROLA: A Sequential Solution to Moving Object Detection Using Low-rank Approximation,Visual-Video,3000,2015,16,1505.03566v2,-0.004232660336774302,0.04597672517032051
173,Ontology Based Document Clustering Using MapReduce,Image-Images,3000,2015,10,1505.02891v1,-0.010112355602118199,0.04459380489145698
174,Improving neural networks with bunches of neurons modeled by Kumaraswamy units: Preliminary study,Networks-Neural,3000,2015,0,1505.02581v1,-0.06988916429068476,0.2882325399884643
175,Socio-Spatial Group Queries for Impromptu Activity Planning,Problem-Algorithm,3000,2015,18,1505.02681v2,-0.18461662220804692,-0.0782664208253768
176,Hybrid data clustering approach using K-Means and Flower Pollination Algorithm,Problem-Algorithm,3000,2015,18,1505.03236v1,-0.2093249361390698,0.03138556386803722
177,Evaluate and Compare Two Utilization-Based Schedulability-Test Frameworks for Real-Time Systems,User-Users,3000,2015,13,1505.02155v3,-0.11049487326262594,-0.09696579672617998
178,Asymptotics and Approximation of the SIR Distribution in General Cellular Networks,Networks-Neural,3000,2015,0,1505.02310v2,-0.002557988133941522,0.06455622775122315
179,Computing maximal autarkies with few and simple oracle queries,Problem-Algorithm,3000,2015,18,1505.02371v2,-0.19155893526803078,-0.03875245383989994
180,Cloud for Gaming,User-Users,3000,2015,13,1505.02435v2,0.026327285477917024,-0.17423684277907983
181,Eliminating Recursion from Monadic Datalog Programs on Trees,Problem-Algorithm,3000,2015,18,1505.02444v1,-0.3832130379891057,-0.1400946822053182
182,Deep Learning for Medical Image Segmentation,Systems-Information,3000,2015,3,1505.02000v1,0.004842862979442721,0.1370730997986284
183,Decomposition of Power Flow Used for Optimizing Zonal Configurations of Energy Market,Systems-Information,3000,2015,3,1505.02008v1,-0.16865818643774994,-0.047346546719249046
184,Non-normal modalities in variants of Linear Logic,Systems-Information,3000,2015,3,1503.04193v2,0.03843625258400536,-0.19065067028696067
185,Metric Localization using Google Street View,3D-Images,3000,2015,7,1503.04287v2,-0.007110696904620035,0.0611551465044162
186,"Sync-Rank: Robust Ranking, Constrained Ranking and Rank Aggregation via Eigenvector and Semidefinite Programming Synchronization",Problem-Algorithm,3000,2015,18,1504.01070v1,-0.2830413333766058,-0.012734006528913409
187,Coded Caching with Heterogenous Cache Sizes,Systems-Information,3000,2015,3,1504.01123v3,-0.06656278181227221,-0.0743262255850936
188,Proving the Herman-Protocol Conjecture,Problem-Algorithm,3000,2015,18,1504.01130v3,-0.3357027143462856,-0.0792033634365182
189,Ricci-Ollivier Curvature of the Rooted Phylogenetic Subtree-Prune-Regraft Graph,Graph-Graphs,3000,2015,2,1504.00304v3,-0.30937960117990815,-0.13484175014366293
190,Low-Latency Software Polar Decoders,Systems-Information,3000,2015,3,1504.00353v2,-0.12268807966896986,-0.08529456985222492
