lat,lon,forest_loss_sq_km,region
23.7511,89.4007,34.74,northeast
27.6625,90.1854,71.71,northeast
27.9133,93.6574,34.01,northeast
28.1692,89.2323,23.51,northeast
28.1357,96.0452,15.18,northeast
26.8574,96.5205,64.26,northeast
23.0309,93.3267,84.49,northeast
27.4313,93.4106,18.7,northeast
26.2948,92.2762,77.26,northeast
26.7019,90.3696,26.68,northeast
24.2131,92.0587,87.44,northeast
25.5683,95.3095,14.55,northeast
24.9461,89.092,62.05,northeast
23.869,91.673,22.67,northeast
23.0451,91.8097,84.82,northeast
27.9724,90.4042,18.57,northeast
24.11,89.3393,40.31,northeast
25.7612,93.6479,65.83,northeast
27.7498,95.6448,76.59,northeast
28.1294,90.3988,38.31,northeast
26.2397,89.7859,86.42,northeast
28.5004,94.8122,10.0,northeast
26.8912,93.8389,50.52,northeast
26.4919,89.4856,70.07,northeast
23.2027,89.9215,120.0,northeast
25.4038,92.7586,15.41,northeast
24.2641,93.3334,82.89,northeast
25.4303,93.3421,112.28,northeast
26.7066,92.7075,15.07,northeast
23.3195,92.6656,17.91,northeast
27.3748,96.304,26.8,northeast
28.9925,90.0729,22.55,northeast
25.2404,95.722,40.63,northeast
27.0165,90.0864,58.93,northeast
23.629,95.7346,43.55,northeast
23.8133,91.7581,32.33,northeast
26.4251,92.3901,10.85,northeast
24.3502,92.5087,22.58,northeast
28.5845,89.9984,42.83,northeast
24.9633,92.9634,35.72,northeast
25.0476,95.1569,90.09,northeast
26.4843,93.0599,67.11,northeast
25.9588,93.501,120.0,northeast
23.0426,91.2537,37.35,northeast
28.6827,95.0197,15.53,northeast
28.1284,93.7228,96.6,northeast
25.922,92.4938,72.32,northeast
25.3622,95.6914,16.67,northeast
28.8383,91.9066,53.46,northeast
28.0906,93.0615,20.29,northeast
24.7197,94.5205,31.79,northeast
28.2836,95.483,75.18,northeast
28.6842,89.2532,90.44,northeast
26.398,94.2225,43.8,northeast
25.0494,94.8312,92.5,northeast
23.9265,91.7056,113.01,northeast
24.6269,90.5918,10.24,northeast
27.799,91.3877,108.92,northeast
28.1827,89.2422,41.67,northeast
25.3394,89.6186,61.76,northeast
28.0435,89.8747,18.33,northeast
23.8405,93.1991,120.0,northeast
26.0402,95.6545,16.05,northeast
23.7828,92.6408,42.82,northeast
24.7114,94.3902,65.49,northeast
25.78,89.3984,45.12,northeast
25.0305,89.184,120.0,northeast
23.3594,89.7653,101.57,northeast
26.1792,89.646,22.21,northeast
24.9162,92.4424,47.89,northeast
24.6911,93.636,58.77,northeast
26.4683,94.4294,17.7,northeast
24.4801,90.566,20.73,northeast
23.6134,95.6443,117.57,northeast
25.8391,96.1791,48.35,northeast
24.3151,93.3167,120.0,northeast
27.8754,91.4573,38.71,northeast
28.4261,96.5613,58.93,northeast
25.5092,89.656,49.35,northeast
25.1427,90.2027,120.0,northeast
24.9462,94.9099,59.79,northeast
27.4669,90.5045,36.74,northeast
23.7417,94.3033,20.51,northeast
23.7522,93.8244,29.99,northeast
25.6373,92.3434,10.0,northeast
23.7,91.6911,46.41,northeast
27.2106,91.1303,71.2,northeast
26.9901,92.119,25.37,northeast
24.4896,92.5131,89.08,northeast
24.8687,89.8908,38.09,northeast
25.4159,89.7068,37.89,northeast
26.3964,91.389,109.56,northeast
23.8181,95.0408,34.02,northeast
23.2834,91.0468,41.7,northeast
28.9277,96.2984,120.0,northeast
23.0971,91.0819,87.97,northeast
27.6428,95.8961,27.08,northeast
28.5075,96.1242,94.57,northeast
24.9124,93.6831,39.29,northeast
26.13,91.9955,25.91,northeast
28.3053,92.4565,55.35,northeast
28.831,93.6716,100.99,northeast
26.5691,93.8923,50.02,northeast
28.0867,89.4665,23.95,northeast
26.0115,92.3216,13.34,northeast
28.054,89.8069,92.42,northeast
24.6994,95.3924,92.47,northeast
27.6872,90.8557,53.73,northeast
23.196,95.6021,120.0,northeast
28.3699,93.4717,93.22,northeast
27.6647,89.8007,29.19,northeast
25.7602,94.9389,32.85,northeast
26.8399,96.7282,41.79,northeast
26.3584,94.6368,89.19,northeast
24.9112,94.1418,120.0,northeast
28.5387,94.7556,55.86,northeast
23.2064,93.5756,67.24,northeast
26.7691,95.6625,120.0,northeast
25.4631,89.3752,60.49,northeast
27.3774,93.1522,57.82,northeast
27.0716,94.9837,110.74,northeast
23.3825,96.071,44.39,northeast
24.5022,95.4251,14.16,northeast
27.329,93.5179,93.81,northeast
26.734,90.5458,76.53,northeast
28.527,96.7489,64.75,northeast
28.8301,89.815,94.61,northeast
26.2109,90.2764,44.57,northeast
28.1099,93.2861,70.69,northeast
23.487,95.2369,10.0,northeast
26.516,91.5542,32.11,northeast
27.2232,91.5516,103.74,northeast
27.1429,96.1632,10.0,northeast
24.6116,92.0784,34.57,northeast
23.5436,91.8037,120.0,northeast
24.0415,94.5503,96.21,northeast
24.5269,94.2764,10.0,northeast
25.492,89.9979,82.3,northeast
28.2595,93.2162,38.31,northeast
26.2339,90.985,82.15,northeast
24.9789,90.1351,26.69,northeast
27.1252,89.7075,32.69,northeast
27.7032,90.255,97.27,northeast
23.9797,89.6554,73.03,northeast
23.825,91.696,17.19,northeast
26.2495,92.8815,98.18,northeast
28.1229,92.9661,40.87,northeast
24.3109,90.941,21.39,northeast
23.8085,90.4741,32.72,northeast
23.8708,96.888,13.27,northeast
24.9619,95.7216,46.89,northeast
27.7224,90.1411,17.04,northeast
26.423,96.8383,120.0,northeast
24.7956,96.4726,105.11,northeast
24.7203,96.6015,120.0,northeast
26.5613,95.8176,85.44,northeast
26.3105,94.3134,40.68,northeast
26.0542,96.0585,75.95,northeast
27.4001,93.5899,89.2,northeast
25.4788,95.0752,66.87,northeast
23.072,95.3825,10.0,northeast
27.9899,89.4696,35.35,northeast
27.7236,96.2169,100.13,northeast
27.1258,95.7768,60.78,northeast
28.6412,92.4848,96.35,northeast
28.7918,94.8992,10.0,northeast
28.2023,93.3228,75.76,northeast
27.8359,92.8988,53.28,northeast
25.6071,95.8458,15.5,northeast
25.6545,95.278,108.11,northeast
24.6012,96.7528,23.67,northeast
28.9216,95.7452,77.23,northeast
27.1551,95.5982,62.05,northeast
28.6811,92.0799,49.3,northeast
26.1494,92.4475,93.23,northeast
28.1085,96.0392,17.37,northeast
26.1996,89.1967,86.13,northeast
24.13,89.1974,10.59,northeast
24.401,91.9178,65.42,northeast
23.3613,89.7846,75.6,northeast
27.3483,93.6822,38.91,northeast
24.8766,92.8252,10.0,northeast
24.6399,91.8708,71.34,northeast
26.0426,95.3201,36.51,northeast
23.61,89.6262,11.53,northeast
26.9564,96.7242,45.58,northeast
26.4909,96.6958,91.46,northeast
27.9969,95.2591,88.02,northeast
25.0556,94.0826,40.37,northeast
28.538,96.4204,40.8,northeast
28.0533,89.0955,51.22,northeast
28.0992,95.7418,91.35,northeast
28.3282,90.0689,120.0,northeast
25.0502,96.3243,71.56,northeast
23.4124,92.0443,23.9,northeast
26.0802,95.0114,120.0,northeast
26.0577,95.765,41.36,northeast
24.8558,96.3898,95.11,northeast
27.8479,96.583,62.07,northeast
28.8914,93.2117,27.7,northeast
24.8828,93.9769,75.46,northeast
25.9653,91.952,64.72,northeast
26.4189,94.6275,17.76,northeast
23.0703,91.1148,120.0,northeast
25.5095,95.4587,32.16,northeast
26.6179,91.6792,39.16,northeast
27.7149,94.4455,102.01,northeast
28.2003,95.2755,34.86,northeast
26.6501,90.4592,28.02,northeast
26.5,93.505,42.25,northeast
24.5012,89.36,90.2,northeast
23.1253,94.6479,120.0,northeast
23.6755,93.4884,27.26,northeast
23.5743,92.8287,88.78,northeast
26.7427,93.2307,22.48,northeast
23.9635,92.7171,51.59,northeast
25.257,90.2014,56.81,northeast
25.688,96.3449,55.55,northeast
23.5515,92.9955,27.2,northeast
28.3784,95.3599,105.17,northeast
26.5972,95.3138,15.07,northeast
24.2103,89.7777,120.0,northeast
23.3239,95.9227,72.38,northeast
25.0873,96.0703,45.27,northeast
25.5189,89.0685,120.0,northeast
23.7156,91.543,40.87,northeast
23.1699,93.3258,43.85,northeast
26.0902,93.9788,38.81,northeast
25.9861,95.4547,64.59,northeast
28.8491,95.1547,31.69,northeast
25.8839,90.5566,41.03,northeast
23.1285,92.3146,17.67,northeast
27.85,89.1775,16.95,northeast
28.0262,91.232,26.3,northeast
25.7898,94.896,46.12,northeast
27.6755,92.9244,96.02,northeast
25.9976,96.391,43.16,northeast
25.3124,95.5891,102.3,northeast
23.7791,91.1694,32.36,northeast
25.9177,89.7843,29.51,northeast
26.6527,95.7621,19.39,northeast
26.2391,91.4871,18.51,northeast
26.1385,94.4533,43.9,northeast
27.8066,96.9329,75.16,northeast
28.5117,93.2225,20.46,northeast
25.6815,93.0982,32.26,northeast
27.0007,94.5008,21.05,northeast
26.3931,95.2916,31.08,northeast
24.0057,89.37,10.0,northeast
28.8213,91.7485,31.18,northeast
28.8114,96.1913,47.13,northeast
23.0425,95.6649,54.6,northeast
27.3311,95.4079,27.84,northeast
27.4273,93.6839,13.15,northeast
23.8444,95.9814,120.0,northeast
28.5227,96.7303,120.0,northeast
23.7554,93.3587,43.75,northeast
23.5978,94.3235,84.7,northeast
24.2446,96.1764,15.78,northeast
27.1242,90.7864,90.64,northeast
25.877,89.8903,61.68,northeast
28.5009,90.6642,120.0,northeast
27.769,95.0787,25.27,northeast
28.2232,91.8448,62.17,northeast
25.1998,91.8129,33.44,northeast
27.2745,94.2073,25.58,northeast
25.6904,95.654,59.18,northeast
23.4841,90.2054,111.94,northeast
25.1644,91.5118,23.31,northeast
25.8888,92.8233,55.69,northeast
28.6502,92.1299,53.39,northeast
28.9981,94.4024,75.18,northeast
24.3184,95.5131,118.6,northeast
28.6488,95.7153,54.03,northeast
27.7244,93.6529,44.31,northeast
27.3189,92.1458,120.0,northeast
25.84,95.3474,25.78,northeast
25.2183,90.9011,100.57,northeast
27.6302,90.7499,120.0,northeast
28.4242,95.4689,84.4,northeast
28.0481,95.3441,21.21,northeast
23.3969,96.7943,52.09,northeast
28.5683,92.4991,24.09,northeast
23.1579,93.5364,57.26,northeast
25.3684,89.6936,24.38,northeast
24.8187,91.0636,77.98,northeast
23.403,94.3702,35.69,northeast
26.2458,95.4033,88.08,northeast
25.3736,89.3632,84.76,northeast
28.441,93.3597,16.58,northeast
28.2218,91.3039,59.15,northeast
26.0402,89.5509,20.67,northeast
26.3355,94.793,10.0,northeast
27.1644,94.4088,38.23,northeast
25.2806,96.9032,78.63,northeast
24.6763,89.8926,42.14,northeast
26.616,96.7744,58.32,northeast
28.8361,90.7187,46.39,northeast
28.6422,91.3818,65.66,northeast
23.4874,92.8494,56.06,northeast
24.0484,92.2675,60.75,northeast
24.9955,89.2452,55.92,northeast
23.1024,92.4406,57.53,northeast
27.5731,95.2294,120.0,northeast
24.6576,94.4068,60.39,northeast
26.8982,95.7433,18.17,northeast
27.5433,93.5651,72.16,northeast
24.4388,92.9746,32.75,northeast
27.4278,91.1332,17.4,northeast
25.6566,90.024,50.29,northeast
28.5384,90.0054,101.79,northeast
27.3477,92.7419,62.06,northeast
25.9496,91.0747,38.71,northeast
26.2239,91.8706,76.66,northeast
23.6197,90.5295,88.74,northeast
27.4612,91.4514,30.55,northeast
23.5118,94.1923,10.74,northeast
28.6185,91.6242,25.81,northeast
24.2723,96.3325,44.51,northeast
26.9366,91.7033,89.01,northeast
27.2821,89.2362,66.91,northeast
27.1552,96.1256,29.34,northeast
26.7494,93.3452,10.96,northeast
23.4063,96.3179,10.72,northeast
23.3162,96.5448,52.09,northeast
25.4615,93.3104,25.53,northeast
24.0834,91.4886,43.85,northeast
28.5618,90.8198,71.8,northeast
26.6359,90.619,62.36,northeast
24.3411,92.0515,32.87,northeast
24.3922,93.717,38.14,northeast
26.6046,92.9948,42.68,northeast
24.0498,91.4488,39.22,northeast
26.4793,90.3778,69.71,northeast
27.1272,92.0648,97.27,northeast
28.5925,89.2051,19.56,northeast
27.8693,89.796,103.61,northeast
23.0536,89.9796,61.58,northeast
28.2892,95.7753,10.0,northeast
28.8027,94.8788,25.49,northeast
24.1477,89.8545,81.37,northeast
23.7434,96.6697,65.6,northeast
28.2613,89.5121,16.1,northeast
28.048,95.5989,14.96,northeast
28.4741,95.631,80.63,northeast
27.2677,89.0315,38.78,northeast
25.236,91.2353,50.3,northeast
24.7282,89.5219,109.62,northeast
28.8283,90.9913,64.84,northeast
24.7747,92.9334,52.13,northeast
24.2012,89.7811,10.0,northeast
25.7807,93.8321,64.67,northeast
28.9702,96.916,10.0,northeast
23.1597,95.0586,71.99,northeast
23.9189,93.2789,120.0,northeast
26.753,95.6777,37.56,northeast
26.488,92.3358,67.87,northeast
23.4561,92.5707,36.23,northeast
23.9578,91.228,21.36,northeast
24.5363,95.2672,66.45,northeast
27.3212,90.9242,15.95,northeast
26.2722,89.9497,42.59,northeast
24.6004,91.7096,23.37,northeast
26.6011,91.2433,10.0,northeast
27.9144,95.1097,42.87,northeast
23.5214,93.6362,51.48,northeast
28.5855,96.1366,104.66,northeast
26.7913,94.783,101.04,northeast
24.8489,96.2564,68.15,northeast
24.3682,93.9522,78.33,northeast
24.4276,96.1794,26.51,northeast
27.1442,95.9328,73.12,northeast
25.4756,95.4742,29.21,northeast
24.6047,91.6797,101.44,northeast
26.1445,93.7483,88.55,northeast
28.2709,91.1409,11.03,northeast
26.7086,90.2804,120.0,northeast
23.6532,92.2479,33.66,northeast
24.8369,95.9093,115.8,northeast
25.3941,92.8009,55.28,northeast
24.5208,95.2516,55.35,northeast
27.6052,89.4906,91.7,northeast
27.8338,93.5867,99.76,northeast
26.0079,93.4886,110.52,northeast
26.3046,89.8789,70.18,northeast
27.0423,92.3834,83.71,northeast
25.9168,91.3885,22.6,northeast
23.5209,94.1735,41.15,northeast
25.9385,94.8013,59.51,northeast
24.1096,95.4532,10.0,northeast
28.5258,90.4886,37.69,northeast
25.6624,91.7978,73.82,northeast
23.6055,91.1857,40.68,northeast
23.4096,92.9994,19.42,northeast
26.6531,92.9524,22.03,northeast
27.5934,95.7222,18.86,northeast
25.9032,94.1246,55.01,northeast
28.9858,95.4481,71.17,northeast
25.0849,89.8204,17.98,northeast
25.6157,91.9901,120.0,northeast
28.7885,92.1591,28.14,northeast
28.1608,94.9965,27.83,northeast
25.3895,96.2675,22.58,northeast
27.0603,92.7137,17.87,northeast
24.0447,93.5799,37.58,northeast
23.7153,89.1348,21.31,northeast
28.2913,89.0353,120.0,northeast
23.2079,95.0188,120.0,northeast
24.5985,96.601,97.06,northeast
25.3594,94.4568,55.52,northeast
24.9135,94.0296,52.7,northeast
24.0226,96.809,95.29,northeast
28.5805,92.6636,23.31,northeast
25.3241,93.9047,51.79,northeast
27.1069,93.4367,53.14,northeast
23.7373,89.9524,31.41,northeast
23.0903,93.4198,70.01,northeast
23.1744,89.1234,60.73,northeast
23.0393,94.8901,48.32,northeast
26.8091,89.4122,20.98,northeast
24.0408,89.2977,20.57,northeast
28.6924,92.7527,87.2,northeast
23.3296,91.5751,115.16,northeast
26.0654,91.177,35.08,northeast
25.1394,96.4114,104.14,northeast
23.6085,93.8269,64.22,northeast
26.5924,96.9184,25.08,northeast
23.0484,95.2248,10.0,northeast
25.0777,94.6756,90.99,northeast
26.2789,91.8005,32.96,northeast
26.695,92.8244,37.15,northeast
24.5552,95.155,46.79,northeast
27.64,95.2342,32.03,northeast
28.3765,96.3202,43.76,northeast
28.9919,89.1071,54.22,northeast
23.5882,92.3958,52.62,northeast
27.1152,94.2133,120.0,northeast
25.0793,92.5067,31.81,northeast
24.8594,95.7979,67.39,northeast
27.9903,93.9488,80.33,northeast
27.503,89.1927,39.55,northeast
24.4037,93.5509,68.68,northeast
26.2845,95.236,116.05,northeast
28.6267,90.6171,120.0,northeast
27.4042,93.847,66.68,northeast
26.9397,96.9963,21.47,northeast
25.8017,93.7424,120.0,northeast
25.0311,89.2157,86.77,northeast
24.9656,90.8457,55.15,northeast
26.7537,92.6861,64.72,northeast
28.6918,95.234,50.63,northeast
27.007,93.784,29.49,northeast
24.5418,92.1942,45.78,northeast
27.9727,91.5988,63.1,northeast
24.4772,90.7945,40.93,northeast
28.1468,92.4092,23.43,northeast
27.8328,94.8163,51.73,northeast
28.6175,95.154,89.51,northeast
24.4435,94.3361,22.32,northeast
23.5853,90.0763,14.25,northeast
25.4697,89.1597,120.0,northeast
25.4004,92.2731,50.86,northeast
24.6355,92.2505,54.53,northeast
27.5381,92.8839,24.5,northeast
24.7977,91.3623,53.22,northeast
26.7201,92.3905,34.03,northeast
27.6848,90.7447,24.62,northeast
28.0568,96.3305,120.0,northeast
27.7855,91.413,10.0,northeast
25.958,94.9464,71.96,northeast
25.447,90.3776,35.23,northeast
28.552,89.3908,10.0,northeast
25.2169,94.2109,90.66,northeast
25.1985,92.9211,10.22,northeast
23.5137,89.6871,73.68,northeast
28.8283,95.2809,120.0,northeast
24.6234,94.9363,110.46,northeast
25.0141,96.8183,19.84,northeast
23.5067,92.5842,51.94,northeast
25.13,94.2867,52.36,northeast
25.265,94.2019,76.26,northeast
28.27,89.2012,56.07,northeast
24.1758,96.1442,120.0,northeast
28.1625,96.7873,98.85,northeast
24.2421,92.6074,50.02,northeast
26.0139,93.8087,44.49,northeast
25.5768,92.9726,14.09,northeast
25.4664,94.3699,73.66,northeast
24.6093,91.1486,70.92,northeast
26.2313,95.6655,75.8,northeast
25.0431,93.4811,36.13,northeast
27.5352,93.575,90.62,northeast
24.8815,89.0931,40.14,northeast
23.4799,94.1425,24.86,northeast
27.9615,94.9959,47.6,northeast
25.4127,89.21,120.0,northeast
27.8851,94.2802,117.34,northeast
28.751,92.4427,33.79,northeast
28.2964,89.1925,30.97,northeast
25.8742,94.2012,10.0,northeast
24.9779,92.4498,107.49,northeast
25.6622,92.4989,96.6,northeast
26.952,90.703,74.21,northeast
23.549,95.3442,25.59,northeast
27.7036,93.6128,73.14,northeast
23.7259,95.3183,120.0,northeast
27.9486,95.0198,11.04,northeast
23.886,93.4631,113.28,northeast
28.9324,94.8436,17.42,northeast
27.1129,92.2313,120.0,northeast
25.3573,89.8697,22.09,northeast
25.8591,95.5757,48.97,northeast
26.8795,91.6319,38.77,northeast
25.4212,90.4607,33.95,northeast
25.9195,96.1819,87.18,northeast
24.115,93.9075,39.03,northeast
24.2002,89.0305,20.64,northeast
26.6811,94.4243,53.05,northeast
25.9351,93.6742,26.32,northeast
27.7991,90.667,67.72,northeast
24.2657,94.5748,88.87,northeast
24.5453,92.0114,114.45,northeast
26.4025,90.9427,111.5,northeast
26.5779,95.9556,120.0,northeast
25.3034,92.9316,10.35,northeast
27.0842,90.8731,86.35,northeast
23.415,91.9613,47.86,northeast
28.1671,92.6391,41.15,northeast
25.8667,96.495,55.59,northeast
25.6937,92.1337,30.98,northeast
26.2209,94.9373,81.29,northeast
25.9789,96.5667,74.77,northeast
24.0745,95.2241,120.0,northeast
23.6393,90.8417,24.12,northeast
26.2418,89.7768,50.51,northeast
25.3537,94.4216,86.36,northeast
25.2503,96.5346,61.39,northeast
26.8659,93.1807,38.02,northeast
23.0344,90.4271,28.64,northeast
28.2758,91.7003,69.74,northeast
26.1858,96.5499,10.0,northeast
27.5594,93.6603,18.25,northeast
23.0153,96.9708,114.78,northeast
23.015,94.5234,30.61,northeast
26.9008,93.3802,64.81,northeast
25.4272,89.6286,11.78,northeast
28.7927,91.2202,60.97,northeast
23.738,89.6358,56.43,northeast
28.8045,89.2158,120.0,northeast
25.4665,95.7556,72.48,northeast
26.6981,92.3126,87.58,northeast
28.4412,92.0748,120.0,northeast
26.6417,91.6516,64.17,northeast
24.5562,95.2025,65.0,northeast
24.4032,95.4681,67.56,northeast
25.9734,93.2359,28.27,northeast
27.6913,89.473,120.0,northeast
24.331,90.5743,13.79,northeast
26.6009,91.7304,63.27,northeast
26.1044,94.9153,84.14,northeast
24.0533,91.9615,24.5,northeast
26.0741,91.0895,39.35,northeast
25.623,94.4506,14.95,northeast
27.3897,96.2229,11.92,northeast
26.5812,93.4846,120.0,northeast
27.5884,89.1118,79.8,northeast
23.5401,89.6266,10.0,northeast
24.2847,91.8741,108.91,northeast
26.731,93.2129,37.3,northeast
28.4634,93.0276,18.41,northeast
28.011,94.7952,33.06,northeast
25.4739,89.5509,120.0,northeast
28.398,96.532,61.44,northeast
24.6057,95.6288,37.78,northeast
23.2076,93.7397,56.41,northeast
25.8432,96.8322,40.06,northeast
23.8133,91.0455,58.01,northeast
28.8577,94.9796,28.27,northeast
26.9435,89.6193,30.29,northeast
27.5174,96.8168,63.34,northeast
24.6712,93.7343,40.73,northeast
28.2996,95.5994,58.35,northeast
24.6126,92.8322,58.81,northeast
23.3428,93.1499,51.37,northeast
28.059,90.2281,98.61,northeast
25.0706,90.8932,10.0,northeast
26.214,95.8717,30.11,northeast
25.4274,89.2076,72.75,northeast
25.209,89.3634,65.3,northeast
23.2478,96.378,69.32,northeast
24.538,89.2886,18.95,northeast
25.6971,92.487,120.0,northeast
24.4781,89.9842,10.0,northeast
25.3519,89.6256,26.07,northeast
27.7997,95.4994,77.79,northeast
25.3969,95.6463,76.97,northeast
26.723,90.1951,104.74,northeast
25.0776,95.639,106.16,northeast
25.9527,92.9163,29.64,northeast
26.4587,95.2472,33.38,northeast
26.5192,92.3283,25.12,northeast
25.8371,89.8013,32.45,northeast
23.019,92.6597,10.0,northeast
26.7486,93.3938,120.0,northeast
26.8533,90.9573,91.46,northeast
28.5363,93.6799,18.18,northeast
26.6364,92.1576,73.68,northeast
28.5547,94.9616,32.6,northeast
25.9457,95.8031,120.0,northeast
25.7174,89.3864,119.61,northeast
27.9406,92.4212,31.05,northeast
23.5878,90.2528,65.22,northeast
24.0648,93.3301,59.77,northeast
28.6729,90.6675,16.81,northeast
27.3377,91.386,39.2,northeast
28.2175,91.6099,120.0,northeast
26.959,96.2982,26.16,northeast
28.5497,96.2069,13.82,northeast
23.3813,93.872,27.37,northeast
27.4406,91.4972,24.6,northeast
25.986,89.7801,35.37,northeast
23.0329,91.1777,21.52,northeast
23.9038,92.2431,43.01,northeast
27.2558,89.2825,30.89,northeast
28.4767,92.2135,63.88,northeast
24.344,93.7516,120.0,northeast
26.746,95.9392,35.58,northeast
23.311,89.0201,38.75,northeast
25.4414,95.9215,10.0,northeast
26.3409,93.4298,37.8,northeast
28.709,89.4896,66.13,northeast
23.3753,96.3221,72.31,northeast
27.3251,95.0331,42.79,northeast
28.4015,95.1117,80.24,northeast
23.4651,89.2098,80.16,northeast
23.2469,89.5075,54.15,northeast
25.674,94.3653,17.39,northeast
25.2953,94.2328,63.31,northeast
26.4595,89.8858,22.83,northeast
28.559,91.4628,107.39,northeast
24.694,94.1268,28.37,northeast
27.0657,91.7088,14.96,northeast
24.4407,96.3047,93.41,northeast
28.0924,92.8296,42.55,northeast
26.0479,96.4714,107.48,northeast
24.6879,92.2036,57.79,northeast
23.1066,89.8965,39.04,northeast
23.2231,93.1466,22.48,northeast
26.7929,89.7745,54.81,northeast
28.7077,91.2994,30.96,northeast
24.3032,91.3265,24.74,northeast
24.5019,95.5319,120.0,northeast
28.4455,95.2324,102.77,northeast
27.6532,92.9483,10.0,northeast
26.2569,96.8156,30.7,northeast
24.7731,92.002,37.24,northeast
23.6849,89.3451,120.0,northeast
26.675,96.0388,19.53,northeast
28.8265,90.9025,42.31,northeast
26.2734,92.5839,39.77,northeast
23.1751,89.05,52.66,northeast
25.2948,89.8827,56.5,northeast
27.9932,94.0868,95.72,northeast
24.4117,95.9654,51.42,northeast
25.9255,96.1036,42.85,northeast
27.1913,91.8127,120.0,northeast
28.504,95.0796,23.2,northeast
24.4914,94.7532,58.34,northeast
23.6574,89.6345,80.92,northeast
27.0136,93.6601,44.81,northeast
23.1856,91.1944,67.51,northeast
27.8565,92.1139,66.07,northeast
25.1292,89.0533,71.96,northeast
23.7174,89.6599,32.19,northeast
27.8913,90.6104,10.0,northeast
24.382,91.8419,17.26,northeast
27.668,90.6298,39.85,northeast
26.4976,91.2316,118.27,northeast
26.6575,93.2473,47.41,northeast
23.4574,93.1387,42.08,northeast
28.5395,91.2238,65.16,northeast
27.3083,96.0216,67.67,northeast
26.0787,94.6969,120.0,northeast
25.4181,93.6023,105.64,northeast
25.9871,94.6694,19.07,northeast
25.9228,93.8494,39.43,northeast
24.5751,92.4751,39.34,northeast
24.115,92.0756,10.0,northeast
25.4049,96.4833,63.31,northeast
24.8154,92.2485,57.31,northeast
28.7958,96.1286,81.41,northeast
28.3266,93.9439,36.05,northeast
26.3763,94.9303,17.22,northeast
28.4348,91.9314,30.23,northeast
25.2164,90.0304,15.7,northeast
25.6468,95.258,117.68,northeast
27.0683,96.3484,33.61,northeast
26.8149,95.6012,61.32,northeast
27.5921,92.9541,25.62,northeast
23.2539,91.6387,10.0,northeast
27.6507,89.77,120.0,northeast
27.4275,95.5261,41.65,northeast
23.157,92.0762,58.26,northeast
26.7144,92.2212,108.2,northeast
23.9822,89.625,116.62,northeast
25.0988,96.7644,62.79,northeast
25.9785,94.0038,66.18,northeast
25.4408,94.7163,49.45,northeast
27.8699,89.6596,48.58,northeast
24.0413,94.7027,21.13,northeast
26.2866,94.5028,120.0,northeast
28.4141,93.1862,10.0,northeast
23.7549,96.3727,10.0,northeast
26.1863,93.3901,32.06,northeast
27.1037,96.2521,24.27,northeast
26.6977,91.9988,32.56,northeast
24.5181,92.2761,66.66,northeast
24.7504,96.7071,64.3,northeast
24.8962,95.9512,57.97,northeast
23.9008,93.5036,38.61,northeast
23.6298,96.9975,10.0,northeast
