Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Postcode,Lat,Lon
GlenElgin,2,3,1,0,0,2,1,1,1,1,2,3,IV30 3SL,57.5834,-3.1723
GlenGarioch,2,1,3,0,0,0,3,1,0,2,2,2,AB51 0ES,57.3489,-2.2378
GlenGrant,1,2,0,0,0,1,0,1,2,1,2,1,AB38 7BS,57.4823,-3.2156
GlenKeith,2,3,1,0,0,1,2,1,2,1,2,1,AB55 3BU,57.5422,-3.0476
GlenMoray,1,2,1,0,0,1,2,1,2,2,2,4,IV30 1YE,57.5612,-3.2789
GlenOrd,3,2,1,0,0,1,2,1,1,2,2,2,IV6 7UJ,57.5234,-4.4189
GlenScotia,2,2,2,2,0,1,0,1,2,2,1,1,PA28 6DS,55.4289,-5.5978
GlenSpey,1,3,1,0,0,0,1,1,1,2,0,2,AB38 7AU,57.4834,-3.2167
Glenallachie,1,3,1,0,0,1,1,0,1,2,2,2,AB38 9LR,57.4612,-3.2234
Glendronach,4,2,2,0,0,2,1,4,2,2,2,0,AB54 6DA,57.4789,-2.8823
Glendullan,3,2,1,0,0,2,1,2,1,2,3,2,AB55 4DJ,57.4523,-3.1389
Glenfarclas,2,4,1,0,0,1,2,3,2,3,2,2,AB37 9BD,57.3934,-3.3234
Glenfiddich,1,3,1,0,0,0,0,0,0,2,2,2,AB55 4DH,57.4537,-3.1412
Glengoyne,1,2,0,0,0,1,1,1,2,2,3,2,G63 9LB,55.9889,-4.2923
Glenkinchie,1,2,1,0,0,1,2,0,0,2,2,2,EH34 5ET,55.8834,-2.9667
Glenlivet,2,3,1,0,0,2,2,2,1,2,2,3,AB37 9DB,57.3467,-3.3789
Glenlossie,1,2,1,0,0,1,2,0,1,2,2,2,IV30 3SS,57.5834,-3.1723
Glenmorangie,2,2,1,1,0,1,2,0,2,1,2,2,IV19 1PZ,57.7234,-4.0456
Glenrothes,2,3,1,0,0,1,1,2,1,2,2,0,AB38 7AA,57.4834,-3.2156
Glenturret,2,3,1,0,0,2,2,2,2,2,1,2,PH7 4HA,56.3923,-3.8189
HighlandPark,2,2,3,1,0,2,1,1,1,2,1,1,KW15 1SU,58.9567,-2.9534
Inchgower,1,3,1,1,0,2,2,0,1,2,1,2,AB56 5AB,57.6578,-2.9823
IsleOfJura,2,1,2,2,0,1,1,0,2,1,1,1,PA60 7XT,55.8389,-5.9667
Knochando,2,3,1,0,0,2,2,1,2,1,2,2,AB38 7RT,57.4623,-3.2445
Lagavulin,4,1,4,4,1,0,1,2,1,1,1,0,PA42 7DZ,55.6334,-6.1256
Laphroaig,4,2,4,4,1,0,0,1,1,1,0,0,PA42 7DU,55.6289,-6.1489
Linkwood,2,3,1,0,0,1,1,2,0,1,3,2,IV30 3RD,57.5834,-3.1723
LochLomond,1,1,1,1,0,1,1,0,1,2,1,2,G83 0TL,56.0089,-4.6234
Longmorn,3,2,1,0,0,1,1,1,3,3,2,3,IV30 3SJ,57.5834,-3.1723
Macallan,4,3,1,0,0,2,1,4,2,2,3,1,AB38 9RX,57.4789,-3.2189
Mannochmore,2,1,1,0,0,1,1,1,2,1,2,2,IV30 3SS,57.5834,-3.1723
Miltonduff,2,4,1,0,0,1,0,0,2,1,1,2,IV30 3TQ,57.5834,-3.1723
Mortlach,3,2,2,0,0,2,3,3,2,1,2,2,AB55 4AQ,57.4556,-3.1389
Oban,2,2,2,2,0,0,2,0,2,2,2,0,PA34 5NH,56.4123,-5.4778
OldFettercairn,1,2,2,0,1,2,2,1,2,3,1,1,AB30 1YE,56.8923,-2.5789
OldPulteney,2,1,2,2,1,0,1,1,2,2,2,2,KW1 5BA,58.4478,-3.0889
RoyalBrackla,2,3,2,1,1,1,2,1,0,2,3,2,IV12 5QY,57.5478,-3.8234
RoyalLochnagar,3,2,2,0,0,2,2,2,2,2,3,1,AB35 5TB,56.9823,-3.2345
Scapa,2,2,1,1,0,2,1,1,2,2,2,2,KW15 1SE,58.9534,-2.9489
Speyburn,2,4,1,0,0,2,1,0,0,2,1,2,AB38 7AG,57.4889,-3.2289
Speyside,2,2,1,0,0,1,0,1,2,2,2,2,PH21 1NS,57.0889,-4.0123
Springbank,2,2,2,2,0,2,2,1,2,1,0,1,PA28 6EJ,55.4234,-5.5889
Strathisla,2,2,1,0,0,2,2,2,3,3,3,2,AB55 3BS,57.5422,-3.0476
Strathmill,2,3,1,0,0,0,2,0,2,1,3,2,AB55 5DQ,57.4667,-3.0389
Talisker,4,2,3,3,0,1,3,0,1,2,2,0,IV47 8SR,57.2978,-6.4523
Tamdhu,1,2,1,0,0,2,0,1,1,2,2,2,AB38 7RP,57.4612,-3.2467
Tamnavulin,1,3,2,0,0,0,2,0,2,1,2,3,AB37 9JA,57.3234,-3.3456
Teaninich,2,2,2,1,0,0,2,0,0,0,2,2,IV17 0XB,57.6878,-4.2889
Tobermory,1,1,1,0,0,1,0,0,1,2,2,2,PA75 6NR,56.6234,-6.0623
Tomatin,2,3,2,0,0,2,2,1,1,2,0,1,IV13 7YT,57.2889,-4.0234
Tomintoul,0,3,1,0,0,2,2,1,1,2,1,2,AB37 9AQ,57.2678,-3.4012
Tormore,2,2,1,0,0,1,0,1,2,1,0,0,PH26 3LR,57.3156,-3.5234
Tullibardine,2,3,0,0,1,0,2,1,1,2,2,1,PH4 1QG,56.2889,-3.8234
